"Name","Instance Count","Size (bytes)"
"CH.ifa.draw.standard.ChangeAttributeCommand",66,2112
"CH.ifa.draw.util.ColorEntry",15,360
"CH.ifa.draw.util.CommandMenu",9,864
"CH.ifa.draw.standard.AlignCommand",6,144
"CH.ifa.draw.standard.FigureEnumerator",5,80
"CH.ifa.draw.standard.ToolButton",5,1160
"CH.ifa.draw.util.PaletteIcon",5,160
"CH.ifa.draw.figures.ArrowTip",3,120
"CH.ifa.draw.application.DrawApplication$1",1,16
"CH.ifa.draw.application.DrawApplication$2",1,16
"CH.ifa.draw.application.DrawApplication$3",1,16
"CH.ifa.draw.application.DrawApplication$4",1,16
"CH.ifa.draw.application.DrawApplication$5",1,16
"CH.ifa.draw.application.DrawApplication$6",1,16
"CH.ifa.draw.application.DrawApplication$7",1,16
"CH.ifa.draw.application.DrawApplication$8",1,16
"CH.ifa.draw.application.DrawApplication$9",1,16
"CH.ifa.draw.figures.FigureAttributes",1,24
"CH.ifa.draw.figures.GroupCommand",1,24
"CH.ifa.draw.figures.LineFigure",1,48
"CH.ifa.draw.figures.TextFigure",1,72
"CH.ifa.draw.figures.TextTool",1,48
"CH.ifa.draw.figures.UngroupCommand",1,24
"CH.ifa.draw.samples.pert.PertApplication",1,456
"CH.ifa.draw.samples.pert.PertDependency",1,56
"CH.ifa.draw.samples.pert.PertFigureCreationTool",1,40
"CH.ifa.draw.standard.BringToFrontCommand",1,24
"CH.ifa.draw.standard.BufferedUpdateStrategy",1,32
"CH.ifa.draw.standard.ConnectionTool",1,56
"CH.ifa.draw.standard.CopyCommand",1,24
"CH.ifa.draw.standard.CreationTool",1,40
"CH.ifa.draw.standard.CutCommand",1,24
"CH.ifa.draw.standard.DeleteCommand",1,24
"CH.ifa.draw.standard.DuplicateCommand",1,24
"CH.ifa.draw.standard.PasteCommand",1,24
"CH.ifa.draw.standard.SelectionTool",1,32
"CH.ifa.draw.standard.SendToBackCommand",1,24
"CH.ifa.draw.standard.StandardDrawing",1,40
"CH.ifa.draw.standard.StandardDrawingView",1,320
"CH.ifa.draw.standard.ToggleGridCommand",1,24
"CH.ifa.draw.util.ColorEntry[ ]",1,80
"CH.ifa.draw.util.Iconkit",1,24
"CH.ifa.draw.util.PaletteLayout",1,24
